id,value
9799,97980
9798,97970
9797,97960
9796,97950
9795,97940
9794,97930
9793,97920
9792,97910
9791,97900
9790,97890
9789,97880
9788,97870
9787,97860
9786,97850
9785,97840
9784,97830
9783,97820
9782,97810
9781,97800
9780,97790
9779,97780
9778,97770
9777,97760
9776,97750
9775,97740
9774,97730
9773,97720
9772,97710
9771,97700
9770,97690
9769,97680
9768,97670
9767,97660
9766,97650
9765,97640
9764,97630
9763,97620
9762,97610
9761,97600
9760,97590
9759,97580
9758,97570
9757,97560
9756,97550
9755,97540
9754,97530
9753,97520
9752,97510
9751,97500
9750,97490
9749,97480
9748,97470
9747,97460
9746,97450
9745,97440
9744,97430
9743,97420
9742,97410
9741,97400
9740,97390
9739,97380
9738,97370
9737,97360
9736,97350
9735,97340
9734,97330
9733,97320
9732,97310
9731,97300
9730,97290
9729,97280
9728,97270
9727,97260
9726,97250
9725,97240
9724,97230
9723,97220
9722,97210
9721,97200
9720,97190
9719,97180
9718,97170
9717,97160
9716,97150
9715,97140
9714,97130
9713,97120
9712,97110
9711,97100
9710,97090
9709,97080
9708,97070
9707,97060
9706,97050
9705,97040
9704,97030
9703,97020
9702,97010
9701,97000
9700,96990
9699,96980
9698,96970
9697,96960
9696,96950
9695,96940
9694,96930
9693,96920
9692,96910
9691,96900
9690,96890
9689,96880
9688,96870
9687,96860
9686,96850
9685,96840
9684,96830
9683,96820
9682,96810
9681,96800
9680,96790
9679,96780
9678,96770
9677,96760
9676,96750
9675,96740
9674,96730
9673,96720
9672,96710
9671,96700
9670,96690
9669,96680
9668,96670
9667,96660
9666,96650
9665,96640
9664,96630
9663,96620
9662,96610
9661,96600
9660,96590
9659,96580
9658,96570
9657,96560
9656,96550
9655,96540
9654,96530
9653,96520
9652,96510
9651,96500
9650,96490
9649,96480
9648,96470
9647,96460
9646,96450
9645,96440
9644,96430
9643,96420
9642,96410
9641,96400
9640,96390
9639,96380
9638,96370
9637,96360
9636,96350
9635,96340
9634,96330
9633,96320
9632,96310
9631,96300
9630,96290
9629,96280
9628,96270
9627,96260
9626,96250
9625,96240
9624,96230
9623,96220
9622,96210
9621,96200
9620,96190
9619,96180
9618,96170
9617,96160
9616,96150
9615,96140
9614,96130
9613,96120
9612,96110
9611,96100
9610,96090
9609,96080
9608,96070
9607,96060
9606,96050
9605,96040
9604,96030
9603,96020
9602,96010
9601,96000
9600,95990
9599,95980
9598,95970
9597,95960
9596,95950
9595,95940
9594,95930
9593,95920
9592,95910
9591,95900
9590,95890
9589,95880
9588,95870
9587,95860
9586,95850
9585,95840
9584,95830
9583,95820
9582,95810
9581,95800
9580,95790
9579,95780
9578,95770
9577,95760
9576,95750
9575,95740
9574,95730
9573,95720
9572,95710
9571,95700
9570,95690
9569,95680
9568,95670
9567,95660
9566,95650
9565,95640
9564,95630
9563,95620
9562,95610
9561,95600
9560,95590
9559,95580
9558,95570
9557,95560
